Day,Date,Parcels,Collections
4,3-Jan-2018,1037081,55139
5,4-Jan-2018,1244902,52268
6,5-Jan-2018,1287102,51852
7,6-Jan-2018,1112962,35310
1,7-Jan-2018,115693,0
2,8-Jan-2018,1199539,70001
3,9-Jan-2018,949690,64576
4,10-Jan-2018,1149323,54305
5,11-Jan-2018,997553,47369
6,12-Jan-2018,900932,45631
7,13-Jan-2018,877828,31502
1,14-Jan-2018,106689,0
2,15-Jan-2018,965372,62090
3,16-Jan-2018,793110,54493
4,17-Jan-2018,896525,45138
5,18-Jan-2018,975112,42355
6,19-Jan-2018,934348,42568
7,20-Jan-2018,790417,29998
1,21-Jan-2018,114705,0
2,22-Jan-2018,921214,58715
3,23-Jan-2018,659608,51817
4,24-Jan-2018,937351,46550
5,25-Jan-2018,1244138,40965
6,26-Jan-2018,1095593,29937
7,27-Jan-2018,919163,27730
1,28-Jan-2018,95260,0
2,29-Jan-2018,973592,57526
3,30-Jan-2018,788683,59214
4,31-Jan-2018,865231,48249
5,1-Feb-2018,999246,42370
6,2-Feb-2018,936035,42023
7,3-Feb-2018,791444,28799
1,4-Feb-2018,120716,0
2,5-Feb-2018,962006,54551
3,6-Feb-2018,609713,49736
4,7-Feb-2018,939683,43893
5,8-Feb-2018,952259,41297
6,9-Feb-2018,882834,39929
7,10-Feb-2018,728635,27428
1,11-Feb-2018,126836,0
2,12-Feb-2018,847127,55885
3,13-Feb-2018,598604,64138
4,14-Feb-2018,882219,48420
5,15-Feb-2018,902045,40438
6,16-Feb-2018,805099,39889
7,17-Feb-2018,687841,26810
1,18-Feb-2018,105072,0
2,19-Feb-2018,738308,54058
3,20-Feb-2018,562549,49061
